Country Name, Cases, Deaths, Rate of Deaths Per Case
('Liechtenstein', '82', '1', 0.0)
('Bahamas', '80', '11', 0.0)
('Barbados', '79', '6', 0.0)
('Uganda', '79', '0', 0.0)
('Mozambique', '76', '0', 0.0)
('Sint Maarten', '74', '13', 0.0)
('Guyana', '74', '8', 0.0)
('Haiti', '74', '6', 0.0)
('Guinea-Bissau', '73', '1', 0.0)
('Cayman Islands', '70', '1', 0.0)
('Eswatini', '65', '1', 0.0)
('Benin', '64', '1', 0.0)
('Libya', '61', '2', 0.0)
('French Polynesia', '57', '0', 0.0)
('Nepal', '52', '0', 0.0)
('Chad', '46', '0', 0.0)
('Macao', '45', '0', 0.0)
('Syria', '43', '3', 0.0)
('Eritrea', '39', '0', 0.0)
('Saint Martin', '38', '3', 0.0)
('Mongolia', '38', '0', 0.0)
('Malawi', '36', '3', 0.0)
('Zimbabwe', '31', '4', 0.0)
('Angola', '27', '2', 0.0)
('Antigua and Barbuda', '24', '3', 0.0)
('Timor-Leste', '24', '0', 0.0)
('Botswana', '22', '1', 0.0)
('CAR', '19', '0', 0.0)
('Laos', '19', '0', 0.0)
('Belize', '18', '2', 0.0)
('Fiji', '18', '0', 0.0)
('Grenada', '18', '0', 0.0)
('New Caledonia', '18', '0', 0.0)
('Curaçao', '16', '1', 0.0)
('Dominica', '16', '0', 0.0)
('Namibia', '16', '0', 0.0)
('Saint Kitts and Nevis', '15', '0', 0.0)
('Saint Lucia', '15', '0', 0.0)
('St. Vincent Grenadines', '15', '0', 0.0)
('Nicaragua', '13', '3', 0.0)
('Falkland Islands', '13', '0', 0.0)
('Turks and Caicos', '12', '1', 0.0)
('Burundi', '11', '1', 0.0)
('Montserrat', '11', '1', 0.0)
('Greenland', '11', '0', 0.0)
('Seychelles', '11', '0', 0.0)
('Gambia', '10', '1', 0.0)
('Suriname', '10', '1', 0.0)
('MS Zaandam', '9', '2', 0.0)
('Vatican City', '9', '0', 0.0)
('Papua New Guinea', '8', '0', 0.0)
('Mauritania', '7', '1', 0.0)
('Bhutan', '7', '0', 0.0)
('British Virgin Islands', '6', '1', 0.0)
('St. Barth', '6', '0', 0.0)
('South Sudan', '6', '0', 0.0)
('Western Sahara', '6', '0', 0.0)
('Caribbean Netherlands', '5', '0', 0.0)
('Sao Tome and Principe', '4', '0', 0.0)
('Anguilla', '3', '0', 0.0)
('Saint Pierre Miquelon', '1', '0', 0.0)
('Yemen', '1', '0', 0.0)
('China', 82830.0, 4633.0, 0.0046)
